compileunits,vmsize,filesize
lib/MicroOcpp/src/MicroOcpp.cpp,17700,1604403
[section .debug_loc],0,607517
lib/MicroOcpp/src/MicroOcpp/Model/ConnectorBase/Connector.cpp,12452,562747
lib/MicroOcpp/src/MicroOcpp/Model/Transactions/TransactionService.cpp,8008,542832
lib/MicroOcpp/src/MicroOcpp/Model/Model.cpp,2312,523550
lib/MicroOcpp/src/MicroOcpp/Model/Variables/VariableService.cpp,5000,476963
[section .xt.prop],0,431508
lib/MicroOcpp/src/MicroOcpp/Model/Metering/MeteringConnector.cpp,4312,417161
lib/MicroOcpp/src/MicroOcpp/Model/Diagnostics/DiagnosticsService.cpp,5825,368825
lib/MicroOcpp/src/MicroOcpp/Model/SmartCharging/SmartChargingService.cpp,6932,362852
lib/MicroOcpp/src/MicroOcpp/Operations/StopTransaction.cpp,1848,346183
lib/MicroOcpp/src/MicroOcpp/Model/Metering/MeterValue.cpp,3276,332855
lib/MicroOcpp/src/MicroOcpp/Model/Metering/MeteringService.cpp,1848,325596
lib/MicroOcpp/src/MicroOcpp/Core/Configuration.cpp,3104,315287
lib/MicroOcpp/src/MicroOcpp/Model/Boot/BootService.cpp,3872,309057
lib/MicroOcpp/src/MicroOcpp/Model/FirmwareManagement/FirmwareService.cpp,4060,307266
src/main.cpp,924,297575
lib/MicroOcpp/src/MicroOcpp/Operations/StartTransaction.cpp,1292,297397
lib/MicroOcpp/src/MicroOcpp/Model/Reset/ResetService.cpp,2804,294331
lib/MicroOcpp/src/MicroOcpp/Core/RequestQueue.cpp,6760,287285
lib/MicroOcpp/src/MicroOcpp/Model/Metering/MeterValuesV201.cpp,3576,280502
lib/MicroOcpp/src/MicroOcpp/Model/Metering/MeterStore.cpp,2900,278484
lib/MicroOcpp/src/MicroOcpp/Core/ConfigurationContainerFlash.cpp,4192,276816
lib/MicroOcpp/src/MicroOcpp_c.cpp,1796,273531
lib/MicroOcpp/src/MicroOcpp/Operations/TriggerMessage.cpp,844,264449
lib/MicroOcpp/src/MicroOcpp/Operations/TransactionEvent.cpp,2528,254618
lib/MicroOcpp/src/MicroOcpp/Operations/GetConfiguration.cpp,2688,253842
lib/MicroOcpp/src/MicroOcpp/Core/Request.cpp,3484,249023
lib/MicroOcpp/src/MicroOcpp/Operations/GetVariables.cpp,2356,244836
lib/MicroOcpp/src/MicroOcpp/Model/Transactions/TransactionStore.cpp,2352,239475
lib/MicroOcpp/src/MicroOcpp/Model/Authorization/AuthorizationService.cpp,1712,239100
lib/MicroOcpp/src/MicroOcpp/Model/Authorization/AuthorizationList.cpp,3760,233779
lib/MicroOcpp/src/MicroOcpp/Operations/SetVariables.cpp,1916,233660
